Pressure_Temperature_At_Different_Altitudes
7 
h/m				p/pa			t/k                 
0	101325	288.15
500	95461.3	284.9
1000	89876.3	281.651
2000	79501.4	275.154
3000	70121.2	268.659
4000	61660.4	262.166
5000	54048.3	255.676
